"filename", "language", "Haxe", "comment", "blank", "total"
"/mnt/dat/prj/haxe/stx/stx_schema/src/main/haxe/eu/ohmrun/halva/schema/Lub.hx", "Haxe", 11, 19, 2, 32
"Total", "-", 11, 19, 2, 32
